Name,Species,Height_cm,Weight_kg,Notes
Sir Flippers McWaddle,Emperor Penguin,115,30,"King of the ice, loves snowball fights"
Penny “Tiny‑Toes” Pygmy,Little Blue Penguin,30,1.5,"The pocket‑size ninja of the sea"
Captain Chilly Beak,King Penguin,95,18,"Always wears a tuxedo, never late for a party"
Waddles McSquawk,Adélie Penguin,70,5,"Expert at sliding on belly‑flops"
Sir Splash‑a‑Lot,Chinstrap Penguin,68,6,"Has a scar from a rogue seal‑hug"
Fluffy McFlippers,Macaroni Penguin,75,7,"Rock‑star hairdo, loves karaoke"
Bubbles O’Penguin,Gentoo Penguin,90,8.5,"Fastest runner on ice, holds the record for most fish caught in a minute"
Sir Ice‑berg,Rockhopper Penguin,55,3.2,"Always hopping, never stopping for a nap"
Penguinator 3000,Yellow‑eyed Penguin,85,9,"Dreams of becoming a robot, charges batteries with fish"
Lady Waddle‑Wobble,Magellanic Penguin,85,10,"Elegant dancer, leads the nightly waddle‑ball"
